relative_time_ms,status,latency_ms,error
276,N/A,0,
276,N/A,0,
276,N/A,0,
276,N/A,0,
276,N/A,0,
276,N/A,0,
276,N/A,0,
276,N/A,0,
276,N/A,0,
277,N/A,0,
277,N/A,0,
277,N/A,0,
277,N/A,0,
277,N/A,0,
278,N/A,0,
278,N/A,0,
278,N/A,0,
278,N/A,0,
278,N/A,0,
279,N/A,0,
279,N/A,0,
279,N/A,0,
279,N/A,0,
279,N/A,0,
281,N/A,0,
281,N/A,0,
281,N/A,0,
281,N/A,0,
281,N/A,0,
281,N/A,0,
281,N/A,0,
281,N/A,0,
281,N/A,0,
281,N/A,0,
282,N/A,0,
282,N/A,0,
282,N/A,0,
282,N/A,0,
282,N/A,0,
283,N/A,0,
283,N/A,0,
283,N/A,0,
283,N/A,0,
283,N/A,0,
284,N/A,0,
284,N/A,0,
284,N/A,0,
284,N/A,0,
284,N/A,0,
286,N/A,0,
286,N/A,0,
286,N/A,0,
286,N/A,0,
286,N/A,0,
286,N/A,0,
286,N/A,0,
286,N/A,0,
286,N/A,0,
286,N/A,0,
287,N/A,0,
287,N/A,0,
287,N/A,0,
287,N/A,0,
287,N/A,0,
288,N/A,0,
288,N/A,0,
288,N/A,0,
288,N/A,0,
288,N/A,0,
289,N/A,0,
289,N/A,0,
289,N/A,0,
289,N/A,0,
289,N/A,0,
291,N/A,0,
291,N/A,0,
291,N/A,0,
291,N/A,0,
291,N/A,0,
291,N/A,0,
291,N/A,0,
291,N/A,0,
291,N/A,0,
291,N/A,0,
292,N/A,0,
292,N/A,0,
292,N/A,0,
292,N/A,0,
292,N/A,0,
293,N/A,0,
293,N/A,0,
293,N/A,0,
293,N/A,0,
293,N/A,0,
294,N/A,0,
294,N/A,0,
294,N/A,0,
294,N/A,0,
294,N/A,0,
296,N/A,0,
296,N/A,0,
296,N/A,0,
296,N/A,0,
296,N/A,0,
296,N/A,0,
296,N/A,0,
296,N/A,0,
296,N/A,0,
296,N/A,0,
297,N/A,0,
297,N/A,0,
297,N/A,0,
297,N/A,0,
297,N/A,0,
298,N/A,0,
298,N/A,0,
298,N/A,0,
298,N/A,0,
298,N/A,0,
299,N/A,0,
299,N/A,0,
299,N/A,0,
299,N/A,0,
299,N/A,0,
300,N/A,0,
300,N/A,0,
301,N/A,0,
301,N/A,0,
301,N/A,0,
301,N/A,0,
301,N/A,0,
301,N/A,0,
301,N/A,0,
301,N/A,0,
302,N/A,0,
302,N/A,0,
302,N/A,0,
302,N/A,0,
302,N/A,0,
303,N/A,0,
303,N/A,0,
303,N/A,0,
303,N/A,0,
303,N/A,0,
304,N/A,0,
304,N/A,0,
304,N/A,0,
304,N/A,0,
304,N/A,0,
306,N/A,0,
306,N/A,0,
306,N/A,0,
306,N/A,0,
306,N/A,0,
306,N/A,0,
306,N/A,0,
306,N/A,0,
306,N/A,0,
306,N/A,0,
307,N/A,0,
307,N/A,0,
307,N/A,0,
307,N/A,0,
307,N/A,0,
308,N/A,0,
308,N/A,0,
308,N/A,0,
308,N/A,0,
308,N/A,0,
309,N/A,0,
309,N/A,0,
309,N/A,0,
309,N/A,0,
309,N/A,0,
310,N/A,0,
311,N/A,0,
311,N/A,0,
311,N/A,0,
311,N/A,0,
311,N/A,0,
311,N/A,0,
311,N/A,0,
311,N/A,0,
311,N/A,0,
312,N/A,0,
312,N/A,0,
312,N/A,0,
312,N/A,0,
312,N/A,0,
313,N/A,0,
313,N/A,0,
313,N/A,0,
313,N/A,0,
313,N/A,0,
314,N/A,0,
314,N/A,0,
314,N/A,0,
314,N/A,0,
314,N/A,0,
316,N/A,0,
316,N/A,0,
316,N/A,0,
316,N/A,0,
316,N/A,0,
316,N/A,0,
316,N/A,0,
316,N/A,0,
316,N/A,0,
316,N/A,0,
317,N/A,0,
317,N/A,0,
317,N/A,0,
317,N/A,0,
317,N/A,0,
